index,value
0,1.0
1,1.0
2,2.0
3,3.0
4,5.0
5,8.0
6,13.0
7,21.0
8,34.0
9,55.0
10,89.0
11,144.0
12,233.0
13,377.0
14,610.0
15,987.0
16,1597.0
17,2584.0
18,4181.0
19,6765.0
20,10946.0
21,17711.0
22,28657.0
23,46368.0
24,75025.0
25,121393.0
26,196418.0
27,317811.0
28,514229.0
29,832040.0
30,1346269.0
31,2178309.0
32,3524578.0
33,5702887.0
34,9227465.0
35,14930352.0
36,24157817.0
37,39088169.0
38,63245986.0
39,102334155.0
40,165580141.0
41,267914296.0
42,433494437.0
43,701408733.0
44,1134903170.0
45,1836311903.0
46,2971215073.0
47,4807526976.0
48,7778742049.0
49,12586269025.0
50,20365011074.0
51,32951280099.0
52,53316291173.0
53,86267571272.0
54,139583862445.0
55,225851433717.0
56,365435296162.0
57,591286729879.0
58,956722026041.0
59,1548008755920.0
60,2504730781961.0
61,4052739537881.0
62,6557470319842.0
63,10610209857723.0
64,17167680177565.0
65,27777890035288.0
66,44945570212853.0
67,72723460248141.0
68,117669030460994.0
69,190392490709135.0
70,308061521170129.0
71,498454011879264.0
72,806515533049393.0
73,1304969544928657.0
74,2111485077978050.0
75,3416454622906707.0
76,5527939700884757.0
77,8944394323791464.0
78,1.447233402467622e+16
79,2.3416728348467684e+16
80,3.78890623731439e+16
81,6.130579072161159e+16
82,9.91948530947555e+16
83,1.605006438163671e+17
84,2.596954969111226e+17
85,4.2019614072748966e+17
86,6.798916376386122e+17
87,1.1000877783661019e+18
88,1.7799794160047142e+18
89,2.880067194370816e+18
90,4.66004661037553e+18
91,7.540113804746346e+18
92,1.2200160415121877e+19
93,1.974027421986822e+19
94,3.19404346349901e+19
95,5.168070885485833e+19
96,8.362114348984843e+19
97,1.3530185234470674e+20
98,2.1892299583455517e+20
99,3.542248481792619e+20
100,5.731478440138171e+20
101,9.27372692193079e+20
102,1.500520536206896e+21
103,2.427893228399975e+21
104,3.928413764606871e+21
105,6.356306993006847e+21
106,1.0284720757613718e+22
107,1.6641027750620564e+22
108,2.692574850823428e+22
109,4.356677625885484e+22
110,7.049252476708912e+22
111,1.1405930102594397e+23
112,1.8455182579303308e+23
113,2.9861112681897705e+23
114,4.831629526120102e+23
115,7.817740794309872e+23
116,1.2649370320429975e+24
117,2.0467111114739846e+24
118,3.311648143516982e+24
119,5.358359254990966e+24
120,8.670007398507949e+24
121,1.4028366653498915e+25
122,2.2698374052006864e+25
123,3.672674070550578e+25
