index,value
0,-221.77552751560196
1,-221.649385163183
2,-221.52329028793844
3,-221.39724288107752
4,-221.27124293380922
5,-221.14529043734294
6,-221.0193853828875
7,-220.89352776165228
8,-220.76771756484635
9,-220.64195478367873
10,-220.5162394093587
11,-220.39057143309526
12,-220.26495084609772
13,-220.13937763957497
14,-220.01385180473648
15,-219.88837333279105
16,-219.76294221494808
17,-219.6375584424166
18,-219.51222200640564
19,-219.38693289812454
20,-219.2616911087822
21,-219.136496629588
22,-219.01134945175085
23,-218.8862495664801
24,-218.76119696498478
25,-218.63619163847395
26,-218.51123357815692
27,-218.3863227752426
28,-218.26145922094034
29,-218.13664290645914
30,-218.01187382300822
31,-217.8871519617967
32,-217.76247731403362
33,-217.63784987092828
34,-217.51326962368964
35,-217.388736563527
36,-217.2642506816493
37,-217.1398119692659
38,-217.01542041758586
39,-216.89107601781814
40,-216.76677876117216
41,-216.6425286388568
42,-216.51832564208138
43,-216.3941697620549
44,-216.2700609899867
45,-216.14599931708568
46,-216.021984734561
47,-215.898017233622
48,-215.77409680547754
49,-215.65022344133706
50,-215.5263971324094
51,-215.4026178699039
52,-215.27888564502956
53,-215.15520044899569
54,-215.03156227301128
55,-214.90797110828544
56,-214.78442694602742
57,-214.66092977744623
58,-214.5374795937512
59,-214.41407638615118
60,-214.29072014585563
61,-214.16741086407347
62,-214.04414853201382
63,-213.920933140886
64,-213.7977646818989
65,-213.67464314626193
66,-213.55156852518397
67,-213.42854080987436
68,-213.3055599915421
69,-213.18262606139632
70,-213.0597390106463
71,-212.93689883050098
72,-212.81410551216965
73,-212.69135904686135
74,-212.5686594257853
75,-212.4460066401505
76,-212.3234006811663
77,-212.20084154004172
78,-212.0783292079858
79,-211.95586367620783
80,-211.8334449359168
81,-211.711072978322
82,-211.58874779463238
83,-211.46646937605732
84,-211.34423771380582
85,-211.2220527990869
86,-211.09991462310992
87,-210.9778231770838
88,-210.8557784522179
89,-210.7337804397211
90,-210.6118291308028
91,-210.489924516672
92,-210.36806658853777
93,-210.2462553376094
94,-210.12449075509585
95,-210.00277283220643
96,-209.8811015601501
97,-209.7594769301362
98,-209.6378989333738
99,-209.51636756107186
100,-209.39488280443976
101,-209.27344465468641
102,-209.15205310302116
103,-209.03070814065293
104,-208.9094097587911
105,-208.78815794864468
106,-208.66695270142267
107,-208.5457940083345
108,-208.42468186058898
109,-208.30361624939553
110,-208.18259716596307
111,-208.06162460150088
112,-207.940698547218
113,-207.81981899432373
114,-207.69898593402704
115,-207.578199357537
116,-207.457459256063
117,-207.3367656208139
118,-207.21611844299912
119,-207.09551771382746
120,-206.97496342450842
121,-206.85445556625092
122,-206.73399413026402
123,-206.61357910775706
124,-206.49321048993903
125,-206.37288826801915
126,-206.25261243320648
127,-206.13238297671023
128,-206.01219988973955
129,-205.89206316350345
130,-205.77197278921122
131,-205.65192875807182
132,-205.53193106129459
133,-205.41197969008843
134,-205.29207463566274
135,-205.1722158892264
136,-205.0524034419888
137,-204.9326372851589
138,-204.8129174099458
139,-204.69324380755882
140,-204.57361646920688
141,-204.45403538609932
142,-204.33450054944507
143,-204.21501195045352
144,-204.0955695803336
145,-203.97617343029447
146,-203.85682349154536
147,-203.73751975529524
148,-203.6182622127535
149,-203.49905085512898
150,-203.37988567363112
151,-203.26076665946886
152,-203.1416938038513
153,-203.02266709798772
154,-202.9036865330871
155,-202.78475210035873
156,-202.66586379101162
157,-202.54702159625504
158,-202.42822550729807
159,-202.30947551534973
160,-202.1907716116193
161,-202.0721137873158
162,-201.95350203364853
163,-201.83493634182642
164,-201.7164167030588
165,-201.59794310855477
166,-201.47951554952323
167,-201.36113401717364
168,-201.2427985027149
169,-201.12450899735634
170,-201.00626549230688
171,-200.8880679787759
172,-200.76991644797226
